year,province,expense,FoodDrink,Dress,Place,Medic,Trans_Comm,EER,etc
2557,กรุงเทพมหานคร,34426,10157,9040,708,1653,7475,1556,3836
2557,นนทบุรี,30812,8886,6844,816,1321,7290,1406,4249
2557,ปทุมธานี,30197,9005,5292,695,1365,8349,1285,4206
2557,สมุทรปราการ,22747,7767,4153,459,1128,5239,815,
2557,กาญจนบุรี,17187,6238,3079,255,836,4193,701,1885
2557,จันทบุรี,20650,7072,3590,549,999,5458,858,2125
2557,ฉะเชิงเทรา,23342,7668,4043,540,1044,5975,923,3148
2557,ชลบุรี,25704,8599,5436,736,1270,5247,1006,3411
2557,ชัยนาท,17091,6295,3097,475,906,3578,533,2207
2557,ตราด,18127,5832,2799,619,834,5094,617,2331
2557,นครนายก,17483,6726,3039,340,761,3677,643,2298
2557,นครปฐม,25876,7973,5176,445,1375,6191,1475,3242
2557,ประจวบคีรีขันธ์,25915,8889,5413,546,1402,5722,1103,2839
2557,ปราจีนบุรี,20790,7899,3661,595,837,4920,647,2229
2557,พระนครศรีอยุธยา,20410,7480,3629,490,908,4829,626,2448
2557,เพชรบุรี,20170,7567,3544,563,792,5070,695,1939
2557,ระยอง,23303,7642,4190,292,911,5886,520,3862
2557,ราชบุรี,17515,6443,3240,454,660,4135,891,1692
2557,ลพบุรี,14911,5586,3203,375,620,3338,566,1223
2557,สมุทรสงคราม,19511,7778,5337,389,1098,3251,717,941
2557,สมุทรสาคร,22560,8210,4089,432,842,4488,956,3542
2557,สระแก้ว,20227,7153,3068,513,1010,4943,890,2650
2557,สระบุรี,22811,7629,3783,440,935,6327,774,2923
2557,สิงห์บุรี,19632,7209,3163,596,862,4220,926,2656
2557,สุพรรณบุรี,14869,5462,3352,363,654,2587,487,1964
2557,อ่างทอง,19634,7287,3005,412,899,4169,1101,2761
2557,กำแพงเพชร,17880,6449,3331,370,928,4186,910,1705
2557,เชียงราย,11231,4970,2172,245,439,1876,400,1129
2557,เชียงใหม่,13732,4957,3275,348,571,2387,594,1599
2557,ตาก,13919,4756,2616,288,660,3158,538,1903
2557,นครสวรรค์,16193,5158,3098,449,743,4081,761,1902
2557,น่าน,13920,4687,2629,436,610,3013,608,1936
2557,พะเยา,11835,5029,2374,179,402,2100,492,1259
2557,พิจิตร,18687,7151,2865,523,1297,3341,869,2641
2557,พิษณุโลก,19003,6464,3329,556,908,4098,971,2678
2557,เพชรบูรณ์,15599,5820,2928,351,675,3299,483,2042
2557,แพร่,15455,5386,2673,353,685,3704,577,2077
2557,แม่ฮ่องสอน,9686,4123,2040,254,462,1448,312,1048
2557,ลำปาง,16021,5661,2437,603,802,3347,1012,2159
2557,ลำพูน,20063,7218,2674,526,870,4827,923,3025
2557,สุโขทัย,14905,4951,3427,329,744,3175,553,1726
2557,อุตรดิตถ์,15220,5262,2939,366,943,2995,885,1830
2557,อุทัยธานี,15690,5693,2457,514,664,3520,675,2166
2557,กาฬสินธุ์,12178,4956,2002,249,410,2813,395,1354
2557,ขอนแก่น,15700,5774,2971,325,582,3410,524,2114
2557,ชัยภูมิ,17163,6875,2932,406,857,3492,883,1718
2557,นครพนม,12562,5293,2347,256,633,2560,521,953
2557,นครราชสีมา,17771,6768,2712,421,786,4498,579,2007
2557,บุรีรัมย์,13952,4990,2179,211,540,3292,1091,1650
2557,มหาสารคาม,14254,5472,2465,347,755,2691,1040,1483
2557,มุกดาหาร,15203,6472,2580,482,600,3071,482,1516
2557,ยโสธร,15867,7612,2156,452,608,2807,342,1890
2557,ร้อยเอ็ด,17762,5334,3114,450,941,4283,686,2953
2557,เลย,15789,6434,3126,426,599,3786,511,906
2557,ศรีสะเกษ,14609,5815,2302,510,672,2744,790,1776
2557,สกลนคร,13475,5317,2272,271,472,2914,921,1308
2557,สุรินทร์,17069,5547,2924,400,518,3385,1514,2781
2557,หนองคาย,18361,6242,4419,450,755,3880,539,2074
2557,หนองบัวลำภู,17622,6570,2834,480,832,4600,782,1526
2557,อุดรธานี,21620,7891,3785,497,943,5072,1161,2271
2557,อุบลราชธานี,15478,5815,3277,179,606,3508,790,1303
